Reporte detallado item 1: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 1
Reporte detallado item 2: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 2
Reporte detallado item 3: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 3
Reporte detallado item 4: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 4
Reporte detallado item 5: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 5
Reporte detallado item 6: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 6
Reporte detallado item 7: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 7
Reporte detallado item 8: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 8
Reporte detallado item 9: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 9
Reporte detallado item 10: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 10
Reporte detallado item 11: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 11
Reporte detallado item 12: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 12
Reporte detallado item 13: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 13
Reporte detallado item 14: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 14
Reporte detallado item 15: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 15
Reporte detallado item 16: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 16
Reporte detallado item 17: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 17
Reporte detallado item 18: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 18
Reporte detallado item 19: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 19
Reporte detallado item 20: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 20
Reporte detallado item 21: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 21
Reporte detallado item 22: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 22
Reporte detallado item 23: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 23
Reporte detallado item 24: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 24
Reporte detallado item 25: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 25
Reporte detallado item 26: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 26
Reporte detallado item 27: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 27
Reporte detallado item 28: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 28
Reporte detallado item 29: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 29
Reporte detallado item 30: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 30
Reporte detallado item 31: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 31
Reporte detallado item 32: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 32
Reporte detallado item 33: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 33
Reporte detallado item 34: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 34
Reporte detallado item 35: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 35
Reporte detallado item 36: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 36
Reporte detallado item 37: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 37
Reporte detallado item 38: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 38
Reporte detallado item 39: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 39
Reporte detallado item 40: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 40
Reporte detallado item 41: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 41
